Printing (some) relocations for /bin/ls

SHdr:{name=.rela.plt, sh_name=0x87, sh_type=SHT_RELA, sh_flags=0x42, sh_addr=0x2cb8, sh_offset=0x2cb8, sh_size=0x9f0, sh_link=0x6, sh_info=0x19, sh_addralign=0x8, sh_entsize=0x18}

Relocations:
 [ 50] Rela:{r_offset=0x22e00, r_info=0x3400000007, r_addend=0x0, r_sym=0x34, r_type=0x7}
 [ 51] Rela:{r_offset=0x22e08, r_info=0x3600000007, r_addend=0x0, r_sym=0x36, r_type=0x7}
 [ 52] Rela:{r_offset=0x22e10, r_info=0x3700000007, r_addend=0x0, r_sym=0x37, r_type=0x7}
 [ 53] Rela:{r_offset=0x22e18, r_info=0x3800000007, r_addend=0x0, r_sym=0x38, r_type=0x7}
 [ 54] Rela:{r_offset=0x22e20, r_info=0x3900000007, r_addend=0x0, r_sym=0x39, r_type=0x7}
 [ 55] Rela:{r_offset=0x22e28, r_info=0x3a00000007, r_addend=0x0, r_sym=0x3a, r_type=0x7}
 [ 56] Rela:{r_offset=0x22e30, r_info=0x3b00000007, r_addend=0x0, r_sym=0x3b, r_type=0x7}
 [ 57] Rela:{r_offset=0x22e38, r_info=0x3c00000007, r_addend=0x0, r_sym=0x3c, r_type=0x7}
 [ 58] Rela:{r_offset=0x22e40, r_info=0x3d00000007, r_addend=0x0, r_sym=0x3d, r_type=0x7}
 [ 59] Rela:{r_offset=0x22e48, r_info=0x3e00000007, r_addend=0x0, r_sym=0x3e, r_type=0x7}
 [ 60] Rela:{r_offset=0x22e50, r_info=0x3f00000007, r_addend=0x0, r_sym=0x3f, r_type=0x7}
 [ 61] Rela:{r_offset=0x22e58, r_info=0x4000000007, r_addend=0x0, r_sym=0x40, r_type=0x7}
 [ 62] Rela:{r_offset=0x22e60, r_info=0x4200000007, r_addend=0x0, r_sym=0x42, r_type=0x7}
 [ 63] Rela:{r_offset=0x22e68, r_info=0x4300000007, r_addend=0x0, r_sym=0x43, r_type=0x7}
 [ 64] Rela:{r_offset=0x22e70, r_info=0x4400000007, r_addend=0x0, r_sym=0x44, r_type=0x7}
 [ 65] Rela:{r_offset=0x22e78, r_info=0x4500000007, r_addend=0x0, r_sym=0x45, r_type=0x7}
 [ 66] Rela:{r_offset=0x22e80, r_info=0x4600000007, r_addend=0x0, r_sym=0x46, r_type=0x7}
 [ 67] Rela:{r_offset=0x22e88, r_info=0x4700000007, r_addend=0x0, r_sym=0x47, r_type=0x7}
 [ 68] Rela:{r_offset=0x22e90, r_info=0x4800000007, r_addend=0x0, r_sym=0x48, r_type=0x7}
 [ 69] Rela:{r_offset=0x22e98, r_info=0x4900000007, r_addend=0x0, r_sym=0x49, r_type=0x7}
 [ 70] Rela:{r_offset=0x22ea0, r_info=0x4a00000007, r_addend=0x0, r_sym=0x4a, r_type=0x7}
 [ 71] Rela:{r_offset=0x22ea8, r_info=0x4b00000007, r_addend=0x0, r_sym=0x4b, r_type=0x7}
 [ 72] Rela:{r_offset=0x22eb0, r_info=0x4c00000007, r_addend=0x0, r_sym=0x4c, r_type=0x7}
 [ 73] Rela:{r_offset=0x22eb8, r_info=0x4d00000007, r_addend=0x0, r_sym=0x4d, r_type=0x7}
 [ 74] Rela:{r_offset=0x22ec0, r_info=0x4e00000007, r_addend=0x0, r_sym=0x4e, r_type=0x7}
 [ 75] Rela:{r_offset=0x22ec8, r_info=0x4f00000007, r_addend=0x0, r_sym=0x4f, r_type=0x7}
 [ 76] Rela:{r_offset=0x22ed0, r_info=0x5000000007, r_addend=0x0, r_sym=0x50, r_type=0x7}
 [ 77] Rela:{r_offset=0x22ed8, r_info=0x5100000007, r_addend=0x0, r_sym=0x51, r_type=0x7}
 [ 78] Rela:{r_offset=0x22ee0, r_info=0x5200000007, r_addend=0x0, r_sym=0x52, r_type=0x7}
 [ 79] Rela:{r_offset=0x22ee8, r_info=0x5300000007, r_addend=0x0, r_sym=0x53, r_type=0x7}
 [ 80] Rela:{r_offset=0x22ef0, r_info=0x5400000007, r_addend=0x0, r_sym=0x54, r_type=0x7}
 [ 81] Rela:{r_offset=0x22ef8, r_info=0x5500000007, r_addend=0x0, r_sym=0x55, r_type=0x7}
 [ 82] Rela:{r_offset=0x22f00, r_info=0x5600000007, r_addend=0x0, r_sym=0x56, r_type=0x7}
 [ 83] Rela:{r_offset=0x22f08, r_info=0x5700000007, r_addend=0x0, r_sym=0x57, r_type=0x7}
 [ 84] Rela:{r_offset=0x22f10, r_info=0x5800000007, r_addend=0x0, r_sym=0x58, r_type=0x7}
 [ 85] Rela:{r_offset=0x22f18, r_info=0x5900000007, r_addend=0x0, r_sym=0x59, r_type=0x7}
 [ 86] Rela:{r_offset=0x22f20, r_info=0x5a00000007, r_addend=0x0, r_sym=0x5a, r_type=0x7}
 [ 87] Rela:{r_offset=0x22f28, r_info=0x5b00000007, r_addend=0x0, r_sym=0x5b, r_type=0x7}
 [ 88] Rela:{r_offset=0x22f30, r_info=0x5c00000007, r_addend=0x0, r_sym=0x5c, r_type=0x7}
 [ 89] Rela:{r_offset=0x22f38, r_info=0x5d00000007, r_addend=0x0, r_sym=0x5d, r_type=0x7}
 [ 90] Rela:{r_offset=0x22f40, r_info=0x5e00000007, r_addend=0x0, r_sym=0x5e, r_type=0x7}
 [ 91] Rela:{r_offset=0x22f48, r_info=0x5f00000007, r_addend=0x0, r_sym=0x5f, r_type=0x7}
 [ 92] Rela:{r_offset=0x22f50, r_info=0x6000000007, r_addend=0x0, r_sym=0x60, r_type=0x7}
 [ 93] Rela:{r_offset=0x22f58, r_info=0x6100000007, r_addend=0x0, r_sym=0x61, r_type=0x7}
 [ 94] Rela:{r_offset=0x22f60, r_info=0x6200000007, r_addend=0x0, r_sym=0x62, r_type=0x7}
 [ 95] Rela:{r_offset=0x22f68, r_info=0x6300000007, r_addend=0x0, r_sym=0x63, r_type=0x7}
